Haval Dargo,2024,"2.0 л (192 л.с.), бензин, робот, 4WD",2 985 000 ,Новосибирск,сегодня
Haval Jolion,2024,"1.5 л (150 л.с.), бензин, робот, 4WD",2 949 000 ,Новосибирск,сегодня
Toyota Mark II,2000,"2.0 л (160 л.с.), бензин, АКПП, 4WD, 283 840 км",745 000 ,Новосибирск,сегодня
Nissan AD,2008,"1.5 л (109 л.с.), бензин, АКПП, передний, 218 000 км",510 000 ,Новосибирск,сегодня
Haval Jolion,2024,"1.5 л (150 л.с.), бензин, робот, 4WD",2 799 000 ,Новосибирск,сегодня
Haval Jolion,2024,"1.5 л (143 л.с.), бензин, робот, передний",2 499 000 ,Новосибирск,сегодня
Haval M6,2024,"1.5 л (143 л.с.), бензин, робот, передний",2 299 000 ,Новосибирск,сегодня
Haval M6,2024,"1.5 л (143 л.с.), бензин, робот, передний",2 299 000 ,Новосибирск,сегодня
Haval M6,2024,"1.5 л (143 л.с.), бензин, робот, передний",2 299 000 ,Новосибирск,сегодня
Haval H3,2024,"1.5 л (143 л.с.), бензин, робот, передний",2 480 000 ,Новосибирск,сегодня
Haval Dargo,2024,"2.0 л (192 л.с.), бензин, робот, 4WD",3 549 000 ,Новосибирск,сегодня
Haval Dargo,2024,"2.0 л (192 л.с.), бензин, робот, 4WD",3 599 000 ,Новосибирск,сегодня
Toyota Land Cruiser,2012,"4.6 л (309 л.с.), бензин, АКПП, 4WD, 206 000 км",4 550 000 ,Бердск (≈ 40 км),сегодня
Toyota Land Cruiser,1998,"4.7 л (235 л.с.), бензин, АКПП, 4WD, 405 000 км",2 000 000 ,Бердск (≈ 40 км),сегодня
Geely Coolray,2024,"1.5 л (147 л.с.), бензин, робот, передний",2 359 490 ,Новосибирск,сегодня
Geely Coolray,2024,"1.5 л (147 л.с.), бензин, робот, передний",2 389 434 ,Новосибирск,сегодня
Geely Tugella,2024,"2.0 л (238 л.с.), бензин, АКПП, 4WD",3 509 990 ,Новосибирск,сегодня
Geely Tugella,2024,"2.0 л (238 л.с.), бензин, АКПП, 4WD",3 499 990 ,Новосибирск,сегодня
Geely Preface,2024,"2.0 л (200 л.с.), бензин, робот, передний",2 799 190 ,Новосибирск,сегодня
Geely Okavango,2024,"2.0 л (200 л.с.), бензин, робот, передний",3 147 490 ,Новосибирск,сегодня
Geely Okavango,2024,"2.0 л (200 л.с.), бензин, робот, передний",3 847 190 ,Новосибирск,сегодня
Tank 700,2024,"3.0 л (354 л.с.), гибрид, АКПП, 4WD",10 199 000 ,Новосибирск,сегодня
Tank 700,2024,"3.0 л (354 л.с.), гибрид, АКПП, 4WD",9 499 000 ,Новосибирск,сегодня
Tank 700,2024,"3.0 л (354 л.с.), гибрид, АКПП, 4WD",9 499 000 ,Новосибирск,сегодня
Tank 700,2024,"3.0 л (354 л.с.), гибрид, АКПП, 4WD",10 199 000 ,Новосибирск,сегодня
Tank 500,2024,"2.0 л (245 л.с.), гибрид, АКПП, 4WD",6 799 000 ,Новосибирск,сегодня
Tank 500,2024,"3.0 л (299 л.с.), гибрид, АКПП, 4WD",7 049 000 ,Новосибирск,сегодня
EXEED TXL,2024,"2.0 л (197 л.с.), бензин, АКПП, 4WD",4 689 990 ,Новосибирск,сегодня
Tank 500,2024,"3.0 л (299 л.с.), гибрид, АКПП, 4WD",7 049 000 ,Новосибирск,сегодня
Tank 500,2024,"2.0 л (245 л.с.), гибрид, АКПП, 4WD",6 799 000 ,Новосибирск,сегодня
EXEED TXL,2024,"1.6 л (194 л.с.), бензин, робот, 4WD",3 990 000 ,Новосибирск,сегодня
EXEED RX,2024,"2.0 л (249 л.с.), бензин, АКПП, 4WD",5 340 000 ,Новосибирск,сегодня
EXEED LX,2024,"1.6 л (150 л.с.), бензин, робот, 4WD",3 955 000 ,Новосибирск,сегодня
EXEED RX,2024,"2.0 л (249 л.с.), бензин, АКПП, 4WD",5 540 000 ,Новосибирск,сегодня
EXEED TXL,2024,"1.6 л (194 л.с.), бензин, робот, 4WD",4 230 000 ,Новосибирск,сегодня
EXEED RX,2024,"2.0 л (249 л.с.), бензин, АКПП, 4WD",5 340 000 ,Новосибирск,сегодня
Chery Tiggo 8 Pro Max,2024,"1.6 л (186 л.с.), бензин, робот, передний",3 370 000 ,Новосибирск,сегодня
Chery Arrizo 8,2024,"1.6 л (150 л.с.), бензин, робот, передний",2 900 000 ,Новосибирск,сегодня
Chery Tiggo 7 Pro Max,2024,"1.6 л (150 л.с.), бензин, робот, передний",3 120 000 ,Новосибирск,сегодня
Chery Tiggo 4 Pro,2025,"1.5 л (113 л.с.), бензин, механика, передний",1 970 000 ,Новосибирск,сегодня
Lexus IS250,2007,"2.5 л (208 л.с.), бензин, АКПП, задний, 477 км",1 250 000 ,Новосибирск,сегодня
OMODA C5,2024,"1.5 л (147 л.с.), бензин, вариатор, передний",2 631 900 ,Новосибирск,сегодня
OMODA C5,2024,"1.5 л (147 л.с.), бензин, вариатор, передний",2 279 900 ,Новосибирск,сегодня
Toyota Highlander,2002,"3.0 л (220 л.с.), бензин, АКПП, 4WD, 303 000 км",999 999 ,Новосибирск,сегодня
УАЗ Патриот,2024,"2.7 л (150 л.с.), бензин, механика, 4WD",1 697 000 ,Новосибирск,сегодня
УАЗ Буханка,2025,"2.7 л (112 л.с.), бензин, механика, 4WD",1 545 000 ,Новосибирск,сегодня
УАЗ Буханка,2024,"2.7 л (112 л.с.), бензин, механика, 4WD",1 540 000 ,Новосибирск,сегодня
УАЗ Буханка,2024,"2.7 л (112 л.с.), бензин, механика, 4WD",1 750 000 ,Новосибирск,сегодня
УАЗ Пикап,2025,"2.7 л (150 л.с.), бензин, механика, 4WD",1 950 000 ,Новосибирск,сегодня
Geely Okavango,2024,"2.0 л (200 л.с.), бензин, робот, передний",3 400 000 ,Новосибирск,сегодня
Geely Atlas,2024,"2.0 л (200 л.с.), бензин, АКПП, 4WD",3 767 190 ,Новосибирск,сегодня
Geely Coolray,2024,"1.5 л (147 л.с.), бензин, робот, передний",2 355 490 ,Новосибирск,сегодня
Geely Monjaro,2024,"2.0 л (238 л.с.), бензин, АКПП, 4WD",4 592 190 ,Новосибирск,сегодня
Chery Tiggo 4,2024,"1.5 л (147 л.с.), бензин, робот, передний",2 330 000 ,Новосибирск,сегодня
Chery Tiggo 4,2024,"1.5 л (147 л.с.), бензин, робот, передний",2 630 000 ,Новосибирск,сегодня
Chery Tiggo 4,2024,"1.5 л (147 л.с.), бензин, робот, передний",2 330 000 ,Новосибирск,сегодня
Haval Jolion,2024,"1.5 л (143 л.с.), бензин, робот, передний",2 649 000 ,Новосибирск,сегодня
Honda Accord,2002,"1.8 л (140 л.с.), бензин, АКПП, передний, 285 000 км",715 000 ,Новосибирск,сегодня
Nissan X-Trail,2008,"2.0 л (141 л.с.), бензин, вариатор, 4WD, 215 000 км",1 209 000 ,Новосибирск,сегодня
Great Wall Poer,2024,"2.0 л (150 л.с.), дизель, АКПП, 4WD",3 889 000 ,Новосибирск,сегодня
Geely Monjaro,2025,"2.0 л (238 л.с.), бензин, АКПП, 4WD",3 850 000 ,Новосибирск,сегодня
Hyundai Solaris,2019,"1.6 л (123 л.с.), бензин, АКПП, передний, 83 000 км",1 417 000 ,Новосибирск,сегодня
Kia Rio X (X-Line),2025,"1.6 л (123 л.с.), бензин, автомат, передний",2 411 000 ,Новосибирск,сегодня
Kia Rio,2025,"1.6 л (123 л.с.), бензин, автомат, передний",2 310 000 ,Новосибирск,сегодня
УАЗ Буханка,2024,"2.7 л (112 л.с.), бензин, механика, 4WD",1 455 000 ,Новосибирск,сегодня
УАЗ Буханка,2024,"2.7 л (112 л.с.), бензин, механика, 4WD",1 455 000 ,Новосибирск,сегодня
Ford Focus,2009,"1.6 л (100 л.с.), бензин, механика, передний, 235 000 км",695 000 ,Новосибирск,сегодня
Toyota Camry,2010,"2.4 л (167 л.с.), бензин, АКПП, передний, 228 000 км",1 645 000 ,Новосибирск,сегодня
Toyota Wish,2013,"1.8 л (143 л.с.), бензин, вариатор, передний, 99 000 км",1 510 000 ,Новосибирск,сегодня
Honda Freed,2014,"1.5 л (88 л.с.), гибрид, вариатор, передний, 100 000 км",1 330 000 ,Новосибирск,сегодня
Лада Гранта,2024,"1.6 л (90 л.с.), бензин, механика, передний",940 000 ,Новосибирск,сегодня
Geely Monjaro,2024,"2.0 л (238 л.с.), бензин, автомат, 4WD, 1 000 км",3 950 000 ,Новосибирск,сегодня
Лада Нива Тревел,2024,"1.7 л (80 л.с.), бензин, механика, 4WD",1 527 000 ,Новосибирск,сегодня
Mercedes-Benz E-Class,2009,"1.8 л (184 л.с.), бензин, АКПП, задний, 452 600 км",1 670 000 ,Новосибирск,сегодня
Xcite X-Cross 7,2024,"1.5 л (147 л.с.), бензин, вариатор, передний",2 109 000 ,Новосибирск,сегодня
Лада Веста Кросс,2024,"1.8 л (122 л.с.), бензин, вариатор, передний",2 033 000 ,Новосибирск,сегодня
Toyota Vellfire,2012,"2.4 л (170 л.с.), бензин, вариатор, 4WD, 331 580 км",2 050 000 ,Новосибирск,сегодня
Chery Tiggo 7 Pro Max,2024,"1.6 л (150 л.с.), бензин, робот, 4WD",3 220 000 ,Новосибирск,сегодня
Chery Arrizo 8,2024,"1.6 л (150 л.с.), бензин, робот, передний",2 900 000 ,Новосибирск,сегодня
Chery Tiggo 4,2025,"1.5 л (147 л.с.), бензин, робот, передний",2 170 000 ,Новосибирск,сегодня
Chery Tiggo 7 Pro Max,2024,"1.6 л (150 л.с.), бензин, робот, 4WD",2 880 000 ,Новосибирск,сегодня
Chery Tiggo 4 Pro,2025,"1.5 л (113 л.с.), бензин, вариатор, передний",2 100 000 ,Новосибирск,сегодня
Chery Tiggo 7 Pro Max,2025,"1.6 л (150 л.с.), бензин, робот, передний",2 720 000 ,Новосибирск,сегодня
Chery Tiggo 8 Pro Max,2024,"1.6 л (186 л.с.), бензин, робот, передний",3 240 000 ,Новосибирск,сегодня
Chery Tiggo 4 Pro,2025,"1.5 л (113 л.с.), бензин, механика, передний",1 909 000 ,Новосибирск,сегодня
Chery Tiggo 9,2024,"2.0 л (249 л.с.), бензин, АКПП, 4WD",4 750 000 ,Новосибирск,сегодня
Chery Tiggo 7 Pro Max,2024,"1.6 л (150 л.с.), бензин, робот, передний",2 980 000 ,Новосибирск,сегодня
Chery Tiggo 7 Pro Max,2025,"1.6 л (150 л.с.), бензин, робот, 4WD",3 070 000 ,Новосибирск,сегодня
Chery Tiggo 8 Pro Max,2024,"1.6 л (186 л.с.), бензин, робот, передний",3 279 000 ,Новосибирск,сегодня
Chery Tiggo 7 Pro Max,2024,"1.6 л (150 л.с.), бензин, робот, 4WD",3 220 000 ,Новосибирск,сегодня
Лада Нива Легенд,2024,"1.7 л (83 л.с.), бензин, механика, 4WD",1 209 000 ,Новосибирск,сегодня
